estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid,horizon
N,0.057698510312341834,97.5,0.046328661512025103,0.069483033186434687,2000,2000,1s
M,0.028537763623783217,97.5,0.018948604522345369,0.038451856620711329,2000,2000,1s
F,0.027998993880803135,97.5,0.014614305340489091,0.041881792170299248,2000,2000,1s
Delta_NM,0.029160746688558618,97.5,0.020075418767111029,0.038771569325389728,2000,2000,1s
Delta_MF,0.00053876974298008168,97.5,-0.01009207184977968,0.010848853804058046,2000,2000,1s
Delta_NF,0.029699516431538699,97.5,0.016010745998822264,0.04440522539864826,2000,2000,1s
N,0.11327170656896396,97.5,0.092610154746561327,0.13347331199382489,2000,2000,2s
M,0.062983803557038767,97.5,0.045426498249006145,0.081315081557737798,2000,2000,2s
F,0.062037067316902485,97.5,0.036079888574639875,0.088821747921984495,2000,2000,2s
Delta_NM,0.050287903011925192,97.5,0.034330132638600679,0.068577165706871959,2000,2000,2s
Delta_MF,0.00094673624013628249,97.5,-0.019057995167307971,0.021448157920729273,2000,2000,2s
Delta_NF,0.051234639252061474,97.5,0.02801719508309948,0.076446857745818608,2000,2000,2s
N,0.20466019632179275,97.5,0.17027043492234215,0.23951110376373705,2000,2000,4s
M,0.12900413779414466,97.5,0.095194806255183659,0.1633979818059042,2000,2000,4s
F,0.11680427771399826,97.5,0.075785763767794875,0.15985744286579429,2000,2000,4s
Delta_NM,0.07565605852764809,97.5,0.047691187200915162,0.10863197472702678,2000,2000,4s
Delta_MF,0.012199860080146396,97.5,-0.019358914817979397,0.04358845607368584,2000,2000,4s
Delta_NF,0.087855918607794486,97.5,0.054243142262059278,0.12577584532629912,2000,2000,4s
